编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
8113,真格—北大在线创业课堂,,北京大学,简单（初级）,18 个小时,热度 91,中文,,,商业管理
7791,中日文化交流史,,北京大学,简单（初级）,23 个小时,热度 102,中文,,,历史
9151,超越硅谷：在转型经济体中促进创业,,凯斯西储大学,简单（初级）,18 个小时,"热度 1,299","中文, 英语, 法语, 西班牙语, 俄语, 其他",,,商业管理
8137,哲学导论（中文版）,,爱丁堡大学,简单（初级）,16 个小时,"热度 1,073","中文, 英语, 西班牙语, 其他",,,哲学
16841,大数据的图表分析,,加州大学圣地亚哥分校,简单（初级）,15 个小时,"热度 1,287",英语,,,计算机
8263,大数据建模和管理系统,,加州大学圣地亚哥分校,简单（初级）,16 个小时,"热度 1,266",英语,,,计算机
3500,大数据 – Capstone 项目,,加州大学圣地亚哥分校,简单（初级）,19 个小时,"热度 1,241",英语,2月4日,,计算机
11975,美国诗歌：现代主义,,哈佛大学,简单（初级）,8 周,热度 389,英语,,,文学
2379,美国的公民政治：公众舆论，选举，利益集团和媒体,,哈佛大学,简单（初级）,4 周,热度 334,英语,,,社会
18225,预测X：没有经度的迷失,,哈佛大学,简单（初级）,1 周,热度 300,英语,,,历史
5621,埃博拉的经验教训：预防下一次大流行,,哈佛大学,简单（初级）,4 周,热度 206,英语,,,社会
8730,美国公共政策：社会，经济和外交政策,,哈佛大学,简单（初级）,4 周,热度 234,英语,,,社会
19680,美国政治机构：国会，总统，法院和官僚机构,,哈佛大学,简单（初级）,4 周,热度 217,英语,,,法律
19493,美国诗歌：内战及其影响,,哈佛大学,简单（初级）,4 周,热度 204,英语,,,文学
2600,美国诗歌：惠特曼,,哈佛大学,简单（初级）,4 周,热度 231,英语,,,文学
16947,基因组学数据分析,,哈佛大学,难（高级）,4 周,热度 536,英语,2月2日,,生物
15404,生命科学数据分析,,哈佛大学,难（高级）,4 周,热度 347,英语,,,生物
17195,美国政府,,哈佛大学,难（高级）,4 周,热度 342,英语,,,社会
19019,神经科学基础,,哈佛大学,简单（初级）,15 周,热度 290,英语,,,生物
1701,古希腊英雄,,哈佛大学,简单（初级）,17 周,热度 253,英语,,,文学
17432,美国政府：宪法基础,,哈佛大学,简单（初级）,4 周,热度 207,英语,,,法律
11618,CitiesX：都市生活的过去，现在和未来,,哈佛大学,简单（初级）,11 周,热度 255,英语,,,社会
10433,吉萨金字塔：古埃及艺术与考古学,,哈佛大学,简单（初级）,8 周,热度 230,英语,,,历史
2358,生物伦理学：生殖技术和遗传学的法律，医学和伦理学,,哈佛大学,简单（初级）,7 周,热度 209,英语,,,法律
4970,奥赛罗的故事,,哈佛大学,简单（初级）,3 周,热度 169,英语,,,文学
15684,疟疾X：从基因到全球击败疟疾,,哈佛大学,普通（中级）,8 周,热度 90,英语,,,医学健康
16995,生物化学原理,,哈佛大学,普通（中级）,15 周,热度 182,英语,,,化学
14768,神经科学基础（一）：神经元的电学特性,,哈佛大学,简单（初级）,5 周,热度 108,英语,,,生物
540,18世纪的歌剧：亨德尔和莫扎特,,哈佛大学,简单（初级）,5 周,热度 132,英语,,,艺术
10139,美国的阿片类危机,,哈佛大学,简单（初级）,7 周,热度 180,英语,,,医学健康
11695,哈姆雷特的幽灵,,哈佛大学,简单（初级）,3 周,热度 93,英语,,,文学
53,新兴经济体的企业家精神,,哈佛大学,简单（初级）,6 周,热度 81,英语,,,商业管理
1327,合同法：从信任到承诺到合同,,哈佛大学,普通（中级）,8 周,热度 166,英语,1月11日,,法律
3402,神经科学基础（二）：神经元和网络,,哈佛大学,简单（初级）,6 周,热度 81,英语,,,生物
4840,夏洛克的约定,,哈佛大学,简单（初级）,3 周,热度 111,英语,,,文学
18486,数据科学,,哈佛大学,难（高级）,34 周,热度 725,英语,,edX专业认证,计算机
3233,利用Python进行科学研究,,哈佛大学,普通（中级）,5 周,热度 861,英语,,,计算机
6960,高速铁路动车组技术,,西南交通大学,难（高级）,24 周,热度 305,中文,,国家精品,工程
11502,急您所脊—呵护我们的脊柱,,四川大学,简单（初级）,14 周,热度 304,中文,,,医学健康
327,世界三大宗教与艺术,,华中师范大学,简单（初级）,9 周,热度 482,中文,,,宗教
8693,摄影基础,,电子科技大学,简单（初级）,14 周,热度 534,中文,,,艺术
8667,插图设计,,华东师范大学,简单（初级）,15 周,热度 279,中文,,,艺术
18247,日本文化解读,,电子科技大学,简单（初级）,14 周,热度 243,中文,,,社会
4818,合同法基础,,西南大学,简单（初级）,9 周,热度 253,中文,,,法律
4999,中国哲学,,北京师范大学,简单（初级）,14 周,热度 282,中文,,,哲学
16784,人工智能与信息社会,,北京大学,简单（初级）,12 周,热度 382,中文,,,计算机
17837,C程序设计,,西北工业大学,简单（初级）,19 周,热度 669,中文,,国家精品,计算机
9799,大学计算机基础,,同济大学,简单（初级）,19 周,热度 643,中文,,国家精品,计算机
15641,无机化学—化学反应原理,,哈尔滨工业大学,简单（初级）,19 周,热度 293,中文,,国家精品,化学
10336,线性代数启蒙,,北京航空航天大学,简单（初级）,12 周,热度 313,中文,,国家精品,数学与统计
19664,大学物理—机械振动、波和波动光学,,西安交通大学,简单（初级）,15 周,热度 355,中文,,国家精品,物理
